codigo,produto,marca,descricao,preco,categoria,unidade
PROD031,Fone de Ouvido Sony WH-1000XM4,Sony,Fone de ouvido over-ear bluetooth com cancelamento de ruído,1599.00,Áudio,UN
PROD032,Caixa de Som Bluetooth JBL Flip 6,JBL,Caixa de som bluetooth portátil stereo 30W,499.00,Áudio,UN
PROD033,Carregador Wireless 15W Samsung,Samsung,Carregador wireless rápido 15W com suporte,120.00,Eletrônicos,UN
PROD034,Notebook Dell XPS 13,Dell,Notebook 13.3" Intel Core i7 16GB RAM 512GB SSD,7500.00,Eletrônicos,UN
PROD035,Monitor Dell UltraSharp 27 polegadas,Dell,Monitor 27" 4K IPS 99% sRGB calibrado,3200.00,Eletrônicos,UN
PROD036,Impressora HP OfficeJet Pro,HP,Impressora multifuncional jato de tinta colorida scanner Wi-Fi,650.00,Eletrônicos,UN
PROD037,Mesa Escritório Compacta 100cm,Allma,Mesa escritório compacta MDF 100x50cm branca,320.00,Móveis,UN
PROD038,Cadeira Executiva Couro,Allma,Cadeira executiva revestida em couro sintético preta,850.00,Móveis,UN
PROD039,Teclado Sem Fio Logitech,Logitech,Teclado sem fio 2.4GHz padrão ABNT2 português,150.00,Periféricos,UN
PROD040,Mouse Sem Fio Logitech,Logitech,Mouse sem fio 2.4GHz óptico 1000dpi,80.00,Periféricos,UN
PROD041,HD Externo 2TB Western Digital,Western Digital,HD externo USB 3.0 2TB portátil preto,520.00,Periféricos,UN
PROD042,Smartphone Xiaomi Redmi Note 12,Xiaomi,Smartphone 128GB 6GB RAM 6.43" Android 12,1299.00,Eletrônicos,UN
PROD043,Fone de Ouvido Bluetooth Xiaomi,Xiaomi,Fone de ouvido bluetooth in-ear com case,99.00,Áudio,UN
PROD044,Caixa de Som Bluetooth Xiaomi,Xiaomi,Caixa de som bluetooth portátil 16W,199.00,Áudio,UN
PROD045,Carregador Rápido 33W Xiaomi,Xiaomi,Carregador rápido USB-C 33W com cabo,65.00,Eletrônicos,UN
PROD046,Notebook Asus Vivobook 15,Asus,Notebook 15.6" Intel Core i5 8GB RAM 256GB SSD,2800.00,Eletrônicos,UN
PROD047,Monitor Asus VG248QE 24 polegadas,Asus,Monitor LED 24" Full HD 144Hz 1ms gaming,1200.00,Eletrônicos,UN
PROD048,Impressora Canon PIXMA G3010,Canon,Impressora tanque de tinta colorida scanner Wi-Fi,950.00,Eletrônicos,UN
